awg_areacalc_run_dtg,awg_areacalc_forecast_dtg,awg_element_id,awg_areacalc_val
"2018-01-15 00:00:00","2018-02-08 00:00:00",tt,5.0
"2018-01-15 00:00:00","2018-02-08 06:00:00",tt,4.9
"2018-01-15 00:00:00","2018-02-08 12:00:00",tt,4.8
"2018-01-15 00:00:00","2018-02-08 18:00:00",tt,4.8
"2018-01-15 00:00:00","2018-02-09 00:00:00",tt,5.3
"2018-01-15 00:00:00","2018-02-09 06:00:00",tt,6.5
"2018-01-15 00:00:00","2018-02-09 12:00:00",tt,7.2
"2018-01-15 00:00:00","2018-02-09 18:00:00",tt,8.0
"2018-01-15 00:00:00","2018-02-10 00:00:00",tt,8.8
"2018-01-15 00:00:00","2018-02-10 06:00:00",tt,9.2
"2018-01-15 00:00:00","2018-02-10 12:00:00",tt,9.3
"2018-01-15 00:00:00","2018-02-10 18:00:00",tt,9.3
"2018-01-15 00:00:00","2018-02-11 00:00:00",tt,9.3
"2018-01-15 00:00:00","2018-02-11 06:00:00",tt,9.4
"2018-01-15 00:00:00","2018-02-11 12:00:00",tt,9.0
"2018-01-15 00:00:00","2018-02-11 18:00:00",tt,8.8
"2018-01-15 00:00:00","2018-02-12 00:00:00",tt,8.3
"2018-01-15 00:00:00","2018-02-12 06:00:00",tt,8.0
"2018-01-15 00:00:00","2018-02-12 12:00:00",tt,8.0
"2018-01-15 00:00:00","2018-02-12 18:00:00",tt,7.9
"2018-01-15 00:00:00","2018-02-13 00:00:00",tt,7.9
"2018-01-15 00:00:00","2018-02-13 06:00:00",tt,7.7
"2018-01-15 00:00:00","2018-02-13 12:00:00",tt,7.2
"2018-01-15 00:00:00","2018-02-13 18:00:00",tt,6.7
"2018-01-15 00:00:00","2018-02-14 00:00:00",tt,6.2
"2018-01-15 00:00:00","2018-02-14 06:00:00",tt,5.7
"2018-01-15 00:00:00","2018-02-14 12:00:00",tt,5.3
"2018-01-15 00:00:00","2018-02-14 18:00:00",tt,5.0
"2018-01-15 00:00:00","2018-02-15 00:00:00",tt,4.7
